After The Rain,Rigmor Gustafsson
"After You Get What You Want, You Don't Want It",Nat King Cole Trio
After You've Gone,Bernese Blue Note Quintett
After You've Gone,Chicago Swing Rats / Memb.
After You've Gone,The Streetrats
After You've Gone,16 Gypsy Strings
Afterglow,Johnny Varro Swing Seven
Afternoon In Paris,Cedar Walton Trio
Again Never,Branford Marsalis Quartet feat. Terence Blanchard
Aged And Mellow,Catherine Russell
Agua de beber,Al Jarreau
Agua de beber,Antônio Carlos Jobim
Agua de beber,Astrud Gilberto & Marty Paich Orchestra
Agua De Beber,Poffet Trio
Agua tinta,Heiri Känzig Quintet
Águas de Março,"Stan Getz, João Gilberto & Miúcha"
Aguas De Março (Waters Of March),Elis Regina & Antonio Carlos Jobim
Aguas de março (Waters Of March),Lily Dahab
Ahmad's Blues,Ahmad Jamal Trio
Ain't Gonna Give It Up,Philipp Fankhauser
Ain't Gonna Study War No More,Monty Alexander
Ain't Got A Dime To My Name,Bill Perkins
Ain't Got Nothing But The Blues,Erika Tanner & Guitar Project
Ain't Misbehavin',Ambass Town Jazz Band feat. Bernita Bush
Ain't Misbehavin',"David ""Fathead"" Newman & Ray Charles"
Ain't Misbehavin',Francis Burger Trio
Ain't Misbehavin',Hans Baur
Ain't Misbehavin',"Harry ""Sweets"" Edison"
Ain't Misbehavin',Jimmy Rushing & Dave Brubeck Quartet
Ain't Misbehavin',Kermit Ruffins
Ain't Misbehavin',Louis Armstrong & His All Stars
Ain't Misbehavin,Marco Marchi & The Mojo Workers
Ain't Misbehavin',Only Blue Stompers
Ain't Misbehavin',Peter Cincotti
Ain't Misbehavin',Swing Kids
Ain't Misbehaving,Evaristo Pérez Trio
Ain't No Sunshine,Beaujolais Band
Ain't No Sunshine,Bill Withers
Ain't No Sunshine,Eva Cassidy
Ain't No Sunshine,Joe Locke
Ain't No Sunshine,Melody Gardot
Ain't No Sunshine,Philippe Chrétien
Ain't No Sunshine,Sandro Schneebeli Group
Ain't No Use,Lilly Thornton
Ain't Nobody Sleepin' In My Bed,Irene Reid
Ain't Nobody's Business,Checkerboard Blues Band
Ain't Nobody's Business,Elias Bernet
Ain't Nobody's Business,Ernestine Anderson
Ain't Nobody's Business,Jimmy Rushing
Ain't Nobody's Business,Lilly Thornton
Ain't Nobody's Business,Mary Stallings With The Gene Harris Quartet
Ain't She Sweet,Benny Carter
Ain't That A Kick In The Head,Enrico Orlandi & Lake Side Jazz Orchestra
Ain't That A Kick In The Head?,John Pizzarelli
Ain't That A Kick In The Head,Robbie Williams
Ain't That Funk For You,Al Grey feat. Arnett Cobb
Ain't Too Proud To Beg,Willie Bobo
Ain't We Got Fun,Rhythm Section & Hank Jones
Air Mail Special,Dexter Gordon & The Teddy Wilson Trio
Air Mail Special,Lionel Hampton
Airborne,DRS Jazz Quartet
Airmail Special,Fernando Fantini Sextett
Akai Sweet Pea,Terry Herman Trio
Al Dizzy Gillespie,Bebo Valdés
Albertina,Michel Camilo
Alecrim,Jenny Chi
Alegria,Pierre Cavalli
Alembert's,Henri Crolla
Alexander's Blues,Peter Lenzin
Alexander's Ragtime Band,Gerry Wiggins Trio
Alfonsina y el mar,Marcos Jimenez Trio
Alfter The Snow Falls,David Benoit
Alice,Matt White & The Super Villain Jazz Band
Alice,Tom Waits
All About That Bass,Livejazz.ch feat. Brandy Butler
All Alone,Alexandra Lehmler
All Alone,Irène Schweizer
All Alone,Tommy Newsom & Ken Peplowski
All Blues,Kaffeehausorchester
All Blues,Kenny Burrell & Vanessa Rubin
All Blues,Poffet Trio
All by Myself,Bobby Gordon & Bob Wilber
All I Ask For Christmas,Ross Bon & The Mighty Blue Kings
All I Do Is Dream Of You,Chris Dawson
All I Do Is Dream Of You,Stacey Kent
All I Have To Do Is Dream,Earl Klugh
All I Wanna Do,Fourplay
All I Want For Christmas (Is My Two Front Teeth),Big Bad Voodoo Daddy feat. She Her & I
All I Want For Christmas Is My Two Front Teeth,Oliver Jones
All Members,Milt Jackson
All My Life,Charles Brown
All My Life,Ruby Braff & Scott Hamilton
All My Love,Dave Brubeck Quartet
All My Tomorrows,Alexander Thoma
All My Tomorrows,Charles Earland
All Of Me,Count Basie Orchestra
All Of Me,Dinah Washington
All Of Me,Eric Clapton & Paul McCartney
All Of Me,Jenny Evans
All Of Me,Les Amis du Jazz de Cortaillod feat. Florence Chitacumbi
All Of Me,Michael Bublé
All Of Me,Zaïti
All Of You,Annie Ross & Gerry Mulligan Quartet
All Of You,Joe Haider Trio feat. Dusko Goykovich
All Of You,Melch Däniker Trio
All Of You,Miles Davis Quintet
All Of You,Scott Hamilton
All Of You,Tony Bennett
All Or Nothing At All,Billie Holiday
All Over Again,B. B. King & The Philip Morris Super Band
All Roads Lead To Home,Oli Silk
All That Jazz,Lea Delaria
All The Blues,Che & Ray
All The Cats Join In,Becky Kilgore & John Sheridan And His Dream Band
All The Love,Tuck & Patti
All The Things You Are,Art Tatum & Ben Webster
All The Things You Are,Cal Tjader
All The Things You Are / I'm Old Fashioned (Medley),Dick Johnson
All The Things You Are,Metronome Quintett
All The Things You Are,Modern Jazz Quartet & Phil Woods
All The Things You Are,René Scholl Jazztet
